WIN_Site_ID,Longitude,Latitude,Collect_Month,Collect_Year,date_,DOC,DON,DON_ratio,NOx,NH4
BM5A,115.835988,-32.096627,3,2016,42430,2.8,0.25,0.943396226,0.005,0.01
4697,115.904988,-32.016495,3,2016,42430,93,3.67,0.916354557,0.005,0.33
4816,115.919147,-31.871691,3,2016,42430,6,1.3,0.809968847,0.005,0.3
4851,115.94094,-31.855528,4,2016,42461,4.5,1.09,0.986425339,0.005,0.01
4852,115.951012,-31.855575,4,2016,42461,4.2,3.9,0.906976744,0.39,0.01
23023900,115.9286,-32.159003,2,2008,39479,46,1.2,0.624674649,0.031,0.69
23023906,115.940304,-32.151939,2,2008,39479,41,1.4,0.918032787,0.005,0.12
4887,115.965725,-31.85557,4,2016,42461,19.9,2.1,0.992907801,0.005,0.01
3077,115.888893,-32.405721,7,2016,42552,19.1,0.98,0.882882883,0.12,0.01
4858,115.950865,-31.846129,4,2016,42461,2.5,0.76,0.95,0.01,0.03
10117850,115.877647,-32.161404,4,2016,42461,88,6.1,0.847222222,0.02,1.08
5205,115.880987,-31.631219,3,2016,42430,18.6,1.1,0.986547085,0.005,0.01
5186,115.881237,-31.751792,3,2016,42430,19,0.25,0.649350649,0.005,0.13
3068,115.875984,-32.46829,7,2016,42552,18.3,0.25,0.446428571,0.3,0.01
3052,115.851766,-32.4062,7,2016,42552,19.8,4.5,0.957446809,0.19,0.01
4586,115.8888,-32.1377,4,2016,42461,4.1,2.167,0.985,0.013,0.02
3086,115.889308,-32.180135,4,2016,42461,5.3,0.62,0.770186335,0.005,0.18
5359,115.948339,-31.721873,3,2016,42430,22,1.82,0.907730673,0.005,0.18
5321,115.929037,-31.720245,3,2016,42430,109,3.65,0.68803016,0.005,1.65
3205,115.872223,-32.115268,4,2016,42461,0.9,0.25,0.037537538,6.4,0.01
5319,115.922079,-31.727591,3,2016,42430,18.6,1.67,0.759090909,0.01,0.52
5201,115.878524,-31.691696,3,2016,42430,20,0.25,0.142450142,0.005,1.5
11551298,115.881613,-32.165823,4,2016,42461,18.9,1.31,0.870431894,0.005,0.19
5308,115.930453,-31.759381,4,2016,42461,61,3.28,0.911111111,0.01,0.31
10022456,115.839664,-32.134387,3,2016,42430,18.6,1.02,0.781609195,0.005,0.28
4521,115.871795,-32.091467,3,2016,42430,14.2,5.88,0.948387097,0.01,0.31
5323,115.93359,-31.713522,3,2016,42430,6.7,4.3,0.934782609,0.01,0.29
4675,115.906284,-32.153093,4,2016,42461,11.9,3.04,0.867332382,0.005,0.46
14136052,115.962018,-31.835566,4,2016,42461,19.9,1.19,0.987551867,0.005,0.01
4917,115.984977,-31.819441,4,2016,42461,189,5.64,0.988606486,0.005,0.06
23028613,115.973907,-31.753273,7,2009,39995,68,1.9,0.655172414,0.47,0.53
5383,115.957315,-31.696022,3,2016,42430,13,2.482,0.993992791,0.005,0.01
4522,115.868908,-32.082438,3,2016,42430,17.7,1.1,0.365448505,1.9,0.01
23000613,115.86854,-31.711088,3,2016,42430,12.8,0.25,0.943396226,0.005,0.01
5287,115.905043,-31.676348,3,2016,42430,19.9,2.06,0.895652174,0.01,0.23
23028433,115.75613,-31.4497,5,2011,40664,8,0.25,0.336021505,0.014,0.48
3212,115.888798,-32.149622,4,2016,42461,9.4,0.65,0.588235294,0.005,0.45
4674,115.906413,-32.16363,4,2016,42461,12.2,2.05,0.82,0.03,0.42
23028436,115.757025,-31.450559,5,2011,40664,9,0.25,0.303030303,0.005,0.57
5174,115.855377,-31.654841,3,2016,42430,39,0.25,0.943396226,0.005,0.01
5553,115.881468,-31.995893,3,2016,42430,29,0.93,0.925373134,0.005,0.07
5259,115.918007,-31.803607,4,2016,42461,3.6,1.79,0.939632546,0.005,0.11
3075,115.890148,-32.440417,7,2016,42552,11.1,3.11,0.840540541,0.55,0.04
12781594,115.873964,-31.7899,3,2016,42430,5.4,0.25,0.431034483,0.32,0.01
4695,115.913908,-32.07613,3,2016,42430,16.1,1.7,0.42394015,2.3,0.01
23041043,115.936467,-31.99195,6,2016,42522,3.6,0.51,0.723404255,0.005,0.19
23028426,115.886301,-31.424468,6,2009,39965,44,0.9,0.199778024,0.005,3.6
23028427,115.886302,-31.42448,5,2011,40664,17,1.2,0.291332848,0.019,2.9
23033947,115.811807,-31.813016,6,2009,39965,22,1.4,0.883280757,0.005,0.18
23028606,115.677009,-31.544034,6,2009,39965,1,0.25,0.160771704,0.005,1.3
23028607,115.677026,-31.544043,6,2009,39965,4,0.25,0.574712644,0.005,0.18
23028603,115.688342,-31.557665,6,2009,39965,0.5,0.25,0.454545455,0.29,0.01
12078913,115.846845,-32.214079,6,2009,39965,11,0.25,0.657894737,0.01,0.12
5584,115.735685,-31.635277,9,2008,39692,4,0.25,0.720461095,0.005,0.092
23023989,115.771047,-31.721887,9,2008,39692,32,1.6,0.886426593,0.005,0.2
8297726,115.68698,-31.554633,3,2016,42430,0.1,0.75,0.625,0.21,0.24
23028599,115.683979,-31.555702,6,2009,39965,0.5,0.25,0.471698113,0.27,0.01
23028600,115.683958,-31.5557,6,2009,39965,0.5,0.25,0.446428571,0.3,0.01
23023907,115.822338,-32.076871,9,2012,41153,44,2.3,0.866290019,0.035,0.32
5161,115.853211,-31.73759,6,2009,39965,8,0.25,0.542299349,0.011,0.2
5163,115.85321,-31.737644,6,2009,39965,8,0.25,0.847457627,0.005,0.04
5158,115.85321,-31.746258,3,2016,42430,8.8,0.25,0.023148148,10.4,0.15
5077,115.823376,-31.725301,8,2008,39661,71,1.6,0.88691796,0.14,0.064
23023936,115.940357,-32.152003,2,2008,39479,41,1.2,0.498960499,0.005,1.2
4676,115.906925,-32.141137,4,2016,42461,3,3.686,0.993530997,0.014,0.01
4891,115.957309,-31.846362,4,2016,42461,103,2.59,0.994241843,0.005,0.01
4782,115.922077,-32.15369,4,2016,42461,2,0.25,0.694444444,0.01,0.1
23033944,115.914823,-31.463411,6,2010,40330,31,0.25,0.416666667,0.01,0.34
4502,115.844467,-31.938774,3,2016,42430,8.6,2.31,0.922155689,0.005,0.19
4970,115.784335,-31.725631,9,2008,39692,7,0.25,0.912408759,0.014,0.01
12282904,115.964113,-31.704099,8,2009,40026,75,1.6,0.951814396,0.005,0.076
