ID,Longitude,Latitude,sampling_d
4586,115.8888,-32.1377,-9.5
4596,115.899318,-32.075371,-6.15
4674,115.906413,-32.16363,-7.71
4675,115.906284,-32.153093,-9.2
4676,115.906925,-32.141137,-11.1
4686,115.915289,-32.116212,-8.7
4695,115.913908,-32.07613,-7
4697,115.904988,-32.016495,-2.5
4782,115.922077,-32.15369,-9
4785,115.926495,-32.124183,-6
4786,115.923599,-32.108985,-9.3
4790,115.927477,-32.003204,-3.28
4816,115.919147,-31.871691,-7.04
4822,115.919983,-31.841675,-11
4849,115.9431,-31.952326,-6
4851,115.94094,-31.855528,-7.29
4852,115.951012,-31.855575,-2
4858,115.950865,-31.846129,-3.5
4863,115.942775,-31.838213,-4.5
4879,115.963531,-32.119675,-25
4880,115.963136,-32.089593,-25
4884,115.958354,-31.90012,-11.54
4886,115.966047,-31.866551,-12
4887,115.965725,-31.85557,-2.5
4891,115.957309,-31.846362,-4.5
4917,115.984977,-31.819441,-14
4921,115.67697,-31.619227,-26.5
4923,115.669123,-31.557947,-15.76
4925,115.709137,-31.624421,-34
4935,115.731238,-31.587246,-40
4944,115.739167,-31.60773,-42
4968,115.782047,-31.776704,-45
4969,115.784403,-31.725629,-33
4970,115.784335,-31.725631,-2
4977,115.777658,-31.648542,-31
5002,115.795758,-31.744636,-4.2
5012,115.793949,-31.594484,-20
5014,115.80056,-31.546859,-32
5020,115.803422,-31.788138,-7.5
5026,115.810847,-31.727837,-6
5038,115.810286,-31.649216,-7.5
5075,115.823379,-31.733475,-12
5077,115.823376,-31.725301,-6
5078,115.823376,-31.725301,-23.15
5079,115.823376,-31.725301,-46
5086,115.835541,-31.724872,-9.5
5091,115.828555,-31.658437,-7.25
5097,115.832131,-31.587444,-18
5102,115.836916,-31.754789,-27
5103,115.852006,-31.752239,-8.35
5135,115.853098,-31.686009,-10
5144,115.84583,-31.633615,-7.2
5158,115.85321,-31.746258,-11.7
5161,115.853211,-31.73759,-51
5163,115.85321,-31.737644,-19
5173,115.862889,-31.672224,-7.1
5174,115.855377,-31.654841,-8.4
5176,115.875065,-31.803622,-10.96
5186,115.881237,-31.751792,-5.55
5201,115.878524,-31.691696,-8.33
5205,115.880987,-31.631219,-10.6
5207,115.87654,-31.571901,-18
5223,115.889062,-31.795733,-15
5248,115.893605,-31.682905,-8
5249,115.895378,-31.6621,-8.9
5255,115.895563,-31.597535,-18
5259,115.918007,-31.803607,-7.71
5287,115.905043,-31.676348,-8
5308,115.930453,-31.759381,-5.5
5319,115.922079,-31.727591,-10.7
5321,115.929037,-31.720245,-7
5323,115.93359,-31.713522,-5.3
5351,115.949923,-31.759389,-5.5
5359,115.948339,-31.721873,-5.5
5383,115.957315,-31.696022,-6
5384,115.968107,-31.640746,-6
5415,116.008937,-31.805014,-12
5450,115.814313,-32.150173,-16
5451,115.819604,-32.14932,-3
5452,115.821696,-32.144153,-3
5457,115.836841,-32.160485,-3.45
5462,115.840201,-32.141454,-6
5546,115.803851,-31.86134,-11
5553,115.881468,-31.995893,-6.6
5563,115.735622,-31.635286,-7.4
5582,115.728618,-31.633168,-6.25
5583,115.735685,-31.635286,-28
5584,115.735685,-31.635277,-16
5761,115.698473,-31.681561,-27.34
5762,115.697746,-31.681825,-8.81
5763,115.69933,-31.681389,-32.65
5765,115.702695,-31.686665,-40.1
5766,115.701248,-31.681517,-54.84
6361,115.615936,-31.521811,-25
